,name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
37,Player 38,SERBIA,ARGENTINA,WALES,PORTUGAL,PORTUGAL,NETHERLANDS,ENGLAND,ENGLAND,BRAZIL,ARGENTINA
38,Player 39,SERBIA,PORTUGAL,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,ENGLAND,ENGLAND,FRANCE,FRANCE
39,Player 40,BRAZIL,PORTUGAL,ARGENTINA,FRANCE,GERMANY,NETHERLANDS,SPAIN,ENGLAND,BELGIUM,SERBIA
40,Player 41,PORTUGAL,NETHERLANDS,PORTUGAL,BRAZIL,BRAZIL,BELGIUM,ENGLAND,FRANCE,GERMANY,SPAIN
41,Player 42,ARGENTINA,SPAIN,SENEGAL,SENEGAL,SENEGAL,URUGUAY,URUGUAY,ARGENTINA,SPAIN,SPAIN
42,Player 43,BRAZIL,URUGUAY,BRAZIL,BRAZIL,FRANCE,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE
43,Player 44,GERMANY,NETHERLANDS,BELGIUM,MOROCCO,CANADA,JAPAN,BRAZIL,CAMEROON,TUNISIA,ARGENTINA
44,Player 45,ARGENTINA,BELGIUM,BRAZIL,ENGLAND,FRANCE,PORTUGAL,GERMANY,SPAIN,BELGIUM,BELGIUM
45,Player 46,PORTUGAL,URUGUAY,PORTUGAL,BRAZIL,SENEGAL,IRAN,SERBIA,DENMARK,ARGENTINA,MOROCCO
46,Player 47,NETHERLANDS,NETHERLANDS,POLAND,POLAND,DENMARK,NETHERLANDS,DENMARK,SENEGAL,SENEGAL,ARGENTINA
47,Player 48,NETHERLANDS,ARGENTINA,POLAND,POLAND,DENMARK,NETHERLANDS,DENMARK,SENEGAL,SENEGAL,ARGENTINA
48,Player 49,ARGENTINA,FRANCE,ARGENTINA,NETHERLANDS,NETHERLANDS,GERMANY,ARGENTINA,BRAZIL,BRAZIL,BRAZIL
49,Player 50,SWITZERLAND,BELGIUM,CANADA,MOROCCO,POLAND,ARGENTINA,DENMARK,GERMANY,FRANCE,USA
50,Player 51,DENMARK,ENGLAND,NETHERLANDS,SOUTH KOREA,FRANCE,FRANCE,DENMARK,NETHERLANDS,CANADA,PORTUGAL
51,Player 52,CANADA,NETHERLANDS,BELGIUM,BELGIUM,NETHERLANDS,NETHERLANDS,DENMARK,USA,USA,GHANA
52,Player 53,ARGENTINA,QATAR,BRAZIL,ENGLAND,SPAIN,URUGUAY,FRANCE,GERMANY,PORTUGAL,BELGIUM
53,Player 54,ENGLAND,WALES,ARGENTINA,DENMARK,SPAIN,BRAZIL,CANADA,FRANCE,GERMANY,NETHERLANDS
54,Player 55,SENEGAL,URUGUAY,SENEGAL,SERBIA,SERBIA,DENMARK,DENMARK,DENMARK,URUGUAY,URUGUAY
55,Player 56,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE,GERMANY,NETHERLANDS,NETHERLANDS,BRAZIL,BRAZIL,NETHERLANDS
56,Player 57,FRANCE,CROATIA,FRANCE,FRANCE,FRANCE,CROATIA,COSTA RICA,ARGENTINA,BELGIUM,BELGIUM
57,Player 58,ARGENTINA,BELGIUM,ARGENTINA,BRAZIL,BRAZIL,ENGLAND,ENGLAND,BELGIUM,BELGIUM,BELGIUM
58,Player 59,SERBIA,SERBIA,SERBIA,CROATIA,CROATIA,USA,ARGENTINA,ARGENTINA,USA,WALES
59,Player 60,SAUDI ARABIA,CROATIA,MEXICO,ARGENTINA,ARGENTINA,CAMEROON,QATAR,FRANCE,PORTUGAL,FRANCE
60,Player 61,ARGENTINA,PORTUGAL,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,QATAR,PORTUGAL,URUGUAY
61,Player 62,ARGENTINA,PORTUGAL,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,ARGENTINA,MEXICO,BELGIUM,FRANCE
62,Player 63,NETHERLANDS,SERBIA,NETHERLANDS,NETHERLANDS,SERBIA,URUGUAY,CAMEROON,DENMARK,MEXICO,URUGUAY
63,Player 64,QATAR,SOUTH KOREA,ECUADOR,SENEGAL,ARGENTINA,GERMANY,TUNISIA,PORTUGAL,GHANA,URUGUAY
64,Player 65,SERBIA,WALES,MOROCCO,MEXICO,URUGUAY,POLAND,FRANCE,POLAND,WALES,FRANCE
65,Player 66,BRAZIL,NETHERLANDS,BRAZIL,BRAZIL,ARGENTINA,ARGENTINA,ARGENTINA,BELGIUM,BELGIUM,BELGIUM
66,Player 67,MOROCCO,PORTUGAL,MOROCCO,USA,USA,ARGENTINA,ARGENTINA,ARGENTINA,PORTUGAL,PORTUGAL
67,Player 68,QATAR,ENGLAND,USA,DENMARK,MEXICO,PORTUGAL,PORTUGAL,BRAZIL,SENEGAL,BRAZIL
68,Player 69,ARGENTINA,URUGUAY,ARGENTINA,PORTUGAL,PORTUGAL,PORTUGAL,SPAIN,SPAIN,SPAIN,ARGENTINA
69,Player 70,GERMANY,BRAZIL,URUGUAY,CROATIA,GERMANY,URUGUAY,NETHERLANDS,GERMANY,NETHERLANDS,BRAZIL
